type1,cost1,size1,space1,station1,price1
regcar,2,2,0.7,0.3,3.1932079
regcar,6,2,1,0.1,5.4604234
regcar,4,3,0.7,0,3.0296809
regcar,4,3,1,0,5.2423324
regcar,4,2,0.7,0,3.8017382
regcar,2,3,0.7,0,1.5337333
regcar,8,1,1,0.3,2.7591223
regcar,8,3,1,0.3,4.1753448
regcar,4,1,0.7,0,3.3109468
sportuv,1,2,0.7,0,8.179911
sportcar,6,1,1,0.1,7.0692554
truck,4,3,0.7,0.7,4.963018
regcar,2,3,0.7,0.3,4.1386835
regcar,4,3,0.7,0,3.0296809
regcar,1,3,1,0,4.8177056
regcar,8,2,0.7,0,0.71222914
regcar,4,3,0.7,0,4.8177056
regcar,1,0,0.7,0,6.0700691
stwagon,4,3,0.7,0,3.2118037
truck,4,3,0.7,0,3.8017382
truck,6,3,0.7,0.3,4.7969948
truck,1,3,1,0,4.690508
regcar,4,2,1,0,3.3544749
regcar,4,2,1,0,4.8568222
regcar,8,3,1,0.3,3.3230888
truck,1,2,1,0,6.6218936
regcar,8,3,0.7,0.7,6.7447878
van,8,3,1,0,6.0700691
van,8,2,0.7,0,5.554415
regcar,2,2,1,0.1,1.1241313
regcar,4,3,0.7,0.7,6.7447878
van,8,3,0.7,0,1.2847215
van,2,2,1,0,6.0700691
regcar,4,1,1,0,0.96354111
regcar,2,2,1,0.1,2.7772075
regcar,4,1,1,0.3,3.586859
truck,8,2,1,0,1.7893555
regcar,2,3,1,0.1,3.7871011
regcar,4,2,0.7,0.7,2.7591223
regcar,4,3,0.7,0.7,5.7941569
stwagon,4,3,0.7,0.1,8.0295093
regcar,8,2,1,0,9.4297342
regcar,2,3,0.7,0,3.5994428
regcar,2,2,1,0,5.6978331
regcar,1,3,0.7,0,4.3455777
regcar,2,2,0.7,0.3,1.661868
regcar,8,2,0.7,0,2.7940569
regcar,1,2,0.7,0,5.0815663
regcar,1,2,0.7,0,3.7919343
regcar,4,3,1,0,3.3544749
sportcar,2,2,1,0,4.2920479
van,8,3,0.7,0,8.4371306
regcar,1,1,0.7,0,1.1036489
regcar,8,0,0.7,0,3.5329841
regcar,6,2,1,0.1,2.2482626
regcar,2,2,1,0,1.9270822
regcar,2,3,1,0,1.2847215
van,6,3,0.7,0.3,4.0395745
sportuv,2,3,1,0.1,4.5107845
regcar,2,2,1,0,3.0296809
regcar,2,3,0.7,0,3.3544749
van,1,2,0.7,0,6.6218936
regcar,8,3,1,0,5.6978331
sportuv,1,2,1,0,5.554415
sportuv,8,2,0.7,0,4.8177056
regcar,1,3,1,0,4.690508
regcar,4,1,1,0,5.2230137
regcar,2,3,0.7,0,1.2847215
regcar,2,2,1,0,3.3109468
sportcar,4,2,1,0,6.0700691
regcar,2,2,1,0,4.690508
regcar,2,3,0.7,0,3.8627713
regcar,8,3,0.7,0,7.444527
regcar,6,2,0.7,0.3,3.8343333
regcar,4,3,0.7,0.7,3.2821543
regcar,6,3,1,0.1,4.8177056
stwagon,8,2,0.7,0,7.5971108
regcar,8,3,1,0.3,5.879311
regcar,4,3,1,0.3,4.1386835
sportcar,1,0,0.7,0,4.0359651
regcar,2,2,1,0,3.8541644
regcar,2,3,1,0,4.1386835
regcar,4,3,0.7,0,5.3671598
regcar,8,2,1,0,5.4600663
regcar,8,3,1,0,3.8627713
regcar,4,3,0.7,0,4.8177056
regcar,4,3,1,0,3.5346277
sportuv,8,3,1,0,5.2230137
van,2,2,0.7,0,4.8177056
truck,4,2,1,0,2.2482626
van,2,3,1,0.1,4.6962648
sportcar,8,0,1,0,4.0359651
regcar,8,3,0.7,0.7,5.4593198
van,4,2,1,0,1.9270822
regcar,1,3,1,0,6.0700691
regcar,8,3,1,0,3.5611457
truck,4,2,0.7,0.7,6.102427
regcar,4,3,0.7,0,6.6218936
sportuv,4,3,1,0,6.3864157
regcar,8,3,0.7,0,5.6978331
stwagon,6,2,1,0.1,4.4145957
regcar,8,3,1,0,4.2920479
regcar,8,3,1,0,7.0659681
sportcar,4,2,0.7,0,0.8277367
stwagon,6,2,1,0.1,2.7591223
regcar,1,3,0.7,0,3.8541644
regcar,2,2,1,0,2.2482626
regcar,8,0,1,0,6.0593618
sportuv,4,2,1,0,3.3927834
regcar,2,3,1,0,3.0296809
regcar,4,2,0.7,0,2.964247
truck,4,3,1,0,1.661868
van,1,3,1,0,4.3455777
regcar,8,2,0.7,0,5.4593198
regcar,8,3,1,0,6.6218936
regcar,6,3,0.7,0.3,0.96354111
regcar,6,2,0.7,0.3,7.8271081
regcar,8,3,0.7,0,4.4965252
regcar,1,1,0.7,0,0.71222914
regcar,8,2,1,0.3,3.5329841
regcar,4,3,1,0,4.1386835
sportcar,4,1,1,0,7.5971108
regcar,8,2,1,0,7.1562131
regcar,1,3,1,0,4.4965252
regcar,2,3,0.7,0.3,4.8177056
sportcar,1,2,0.7,0,4.2920479
regcar,8,1,1,0,6.0700691
regcar,4,3,1,0,2.3949059
regcar,8,3,0.7,0,4.8177056
regcar,4,3,1,0,5.2230137
regcar,2,3,0.7,0,4.4965252
regcar,8,3,1,0.3,3.5329841
sportuv,1,1,0.7,0,5.4600663
sportcar,4,0,0.7,0,7.7255425
regcar,8,2,1,0,4.0359651
regcar,1,3,0.7,0,5.2932982
regcar,2,3,0.7,0.3,8.179911
regcar,2,3,1,0.1,3.3230888
regcar,8,2,1,0,3.8343333
regcar,1,2,0.7,0,6.0593618
sportcar,1,0,0.7,0,11.241313
regcar,4,2,0.7,0.7,5.3019416
regcar,2,3,1,0.1,9.6569282
sportcar,1,2,0.7,0,1.7673139
regcar,4,2,1,0,3.3544749
sportcar,8,0,1,0,4.690508
truck,6,2,1,0.1,5.3019416
van,8,2,1,0,4.8177056
regcar,2,1,0.7,0.3,4.2490015
regcar,4,3,0.7,0,2.2482626
sportuv,1,1,0.7,0,4.2920479
regcar,2,3,1,0.1,1.262367
sportcar,8,1,0.7,0,2.569443
regcar,6,3,1,0,4.1386835
regcar,2,0,1,0,3.3109468
regcar,1,3,0.7,0,1.2703916
regcar,4,2,1,0,6.102427
regcar,4,3,0.7,0,3.3544749
regcar,4,3,0.7,0,6.7754218
sportcar,1,0,0.7,0,5.6978331
van,4,3,0.7,0.1,4.4145957
regcar,2,3,1,0.1,3.7985554
regcar,2,3,1,0.1,4.2490015
regcar,1,3,1,0,7.0692554
sportcar,4,1,1,0.3,3.0350346
truck,4,3,1,0,3.5611457
van,6,3,0.7,0.3,1.1241313
regcar,4,2,1,0,3.5346277
regcar,4,2,0.7,0.7,4.2920479
regcar,1,1,0.7,0,4.3455777
regcar,1,3,0.7,0,7.444527
truck,8,3,1,0,3.3109468
regcar,4,3,1,0.3,4.8177056
regcar,2,2,1,0,7.444527
regcar,1,3,0.7,0,4.1386835
regcar,6,3,1,0.1,4.6962648
regcar,6,3,0.7,0.3,3.7919343
regcar,2,2,1,0.1,4.8568222
regcar,8,0,0.7,0,3.0674666
regcar,8,2,0.7,0,1.7890533
regcar,4,2,1,0,4.5107845
sportuv,2,3,1,0,4.2490015
regcar,8,3,1,0,7.444527
regcar,4,2,0.7,0.1,6.9851422
regcar,8,2,1,0,6.6218936
regcar,2,1,0.7,0,4.1386835
sportcar,4,2,0.7,0,3.0296809
regcar,1,2,0.7,0,6.9851422
regcar,6,2,0.7,0.3,4.4463705
regcar,1,1,0.7,0,7.444527
regcar,6,3,1,0.1,6.2616864
regcar,2,2,1,0,4.690508
sportuv,8,3,1,0,4.7969948
sportuv,1,2,0.7,0,6.0593618
regcar,2,2,1,0,3.8541644
regcar,4,2,0.7,0,4.3455777
sportcar,8,0,0.7,0,8.179911
regcar,1,2,0.7,0,5.4600663
stwagon,4,3,1,0,3.3927834
stwagon,4,3,0.7,0.7,3.3877109
regcar,2,2,0.7,0,2.7940569
sportuv,6,3,0.7,0.3,7.8271081
regcar,4,2,0.7,0.7,1.9313856
sportuv,8,3,0.7,0.7,6.2616864
regcar,8,1,0.7,0,4.7969948
regcar,2,3,1,0,3.5994428
stwagon,2,3,0.7,0.3,6.3459814
regcar,1,2,1,0,4.963018
regcar,8,2,1,0.3,1.5148404
sportuv,2,3,0.7,0,1.661868
sportcar,2,2,1,0,7.8271081
regcar,4,3,0.7,0.7,5.1388859
regcar,8,2,0.7,0,5.554415
regcar,6,3,1,0.1,4.6962648
regcar,8,3,0.7,0.1,4.0395745
regcar,8,3,1,0,3.4741126
regcar,2,2,1,0,4.2920479
regcar,4,3,0.7,0,2.8489165
regcar,4,2,0.7,0,3.5346277
regcar,6,2,0.7,0.3,1.4453117
regcar,8,2,0.7,0,8.8291915
regcar,4,2,1,0,6.0700691
regcar,2,3,0.7,0.3,3.7871011
regcar,2,3,0.7,0,3.8541644
regcar,8,2,0.7,0.7,11.241313
van,4,3,0.7,0,5.3671598
van,8,2,1,0.3,3.7871011
regcar,4,3,0.7,0,3.0674666
regcar,4,2,0.7,0,5.4593198
regcar,4,1,1,0,7.0659681
regcar,4,2,0.7,0,5.6978331
regcar,1,3,1,0,4.8568222
regcar,8,3,1,0,8.9467777
regcar,4,2,0.7,0,1.4889054
regcar,8,3,1,0,8.4371306
sportuv,4,3,0.7,0,4.2920479
regcar,1,3,1,0,4.7898118
regcar,4,3,0.7,0,3.2118037
regcar,4,2,1,0.3,5.928494
regcar,2,3,0.7,0,5.6978331
regcar,4,3,0.7,0,3.3109468
regcar,1,3,1,0,6.9482252
regcar,8,1,1,0,1.661868
regcar,6,3,1,0.1,2.8118444
regcar,4,3,1,0,5.4600663
regcar,2,3,0.7,0.3,5.3680666
regcar,2,2,1,0,6.3905555
truck,8,3,0.7,0,4.1386835
regcar,4,1,1,0,6.0700691
sportcar,4,0,1,0,3.8627713
regcar,8,1,1,0,3.0674666
regcar,1,3,0.7,0,8.4371306
regcar,2,2,0.7,0,5.4593198
regcar,2,3,0.7,0,4.690508
regcar,4,3,1,0,2.7591223
truck,2,2,1,0,1.9270822
regcar,2,3,1,0,7.8271081
regcar,4,2,0.7,0,3.8017382
truck,1,2,0.7,0,3.7919343
regcar,4,3,0.7,0.7,3.5611457
regcar,2,3,0.7,0,4.7969948
regcar,8,2,1,0,3.1759789
regcar,8,2,1,0,5.9556216
regcar,8,2,1,0,3.5346277
sportcar,4,2,1,0.3,8.8291915
van,8,2,1,0.3,4.985604
regcar,2,2,1,0,5.3671598
van,8,3,1,0,7.0659681
sportcar,2,2,1,0,1.3795612
truck,4,3,0.7,0,4.690508
regcar,2,3,1,0,2.8489165
regcar,4,2,1,0,5.4600663
regcar,1,3,0.7,0,6.0593618
regcar,8,3,1,0,3.3109468
regcar,6,2,1,0.1,4.4145957
regcar,1,3,1,0,7.0659681
sportcar,2,2,1,0,2.2072979
regcar,1,3,0.7,0,3.3544749
regcar,2,1,0.7,0,1.1036489
regcar,4,3,1,0,3.5787111
regcar,2,3,0.7,0.3,5.7941569
regcar,4,3,1,0.3,6.3459814
truck,1,2,0.7,0,4.2920479
stwagon,4,3,0.7,0,4.3455777
regcar,2,1,0.7,0,5.2230137
regcar,4,2,1,0,2.6835799
regcar,1,2,1,0,8.4371306
regcar,6,3,1,0.1,8.179911
sportcar,8,1,1,0,5.0815663
regcar,8,3,1,0,8.4371306
regcar,2,2,1,0,5.5907915
regcar,2,3,0.7,0,5.4600663
regcar,8,3,0.7,0.7,3.5994428
regcar,2,3,0.7,0,2.481509
regcar,8,3,0.7,0,5.6978331
regcar,1,3,0.7,0,7.5971108
regcar,8,3,1,0,8.4371306
truck,4,3,1,0,4.9198965
truck,4,2,0.7,0,3.0674666
regcar,2,3,1,0,3.5346277
regcar,4,1,1,0,0.89452663
regcar,2,1,1,0,1.9313856
regcar,8,2,1,0.3,4.1386835
regcar,8,3,1,0,3.5994428
regcar,2,2,1,0,5.6236888
stwagon,1,2,1,0,6.2616864
sportcar,6,0,0.7,0.3,5.7941569
truck,4,2,1,0,3.5787111
regcar,4,3,0.7,0.7,7.7255425
sportcar,1,2,0.7,0,4.690508
regcar,4,2,1,0,7.1574221
regcar,2,2,0.7,0,3.5787111
regcar,4,3,0.7,0.7,4.4145957
regcar,4,3,0.7,0,3.5611457
sportuv,2,3,1,0,3.7919343
regcar,4,3,1,0,4.2490015
regcar,8,3,1,0.3,3.7985554
regcar,4,3,0.7,0,4.0359651
sportcar,2,0,0.7,0.3,7.0692554
regcar,4,2,0.7,0,4.9893873
regcar,1,2,0.7,0,2.7772075
regcar,2,2,0.7,0,2.2363166
regcar,4,3,0.7,0,3.3927834
regcar,4,3,1,0,2.2072979
regcar,4,2,0.7,0.7,1.9270822
stwagon,1,2,0.7,0,3.8627713
regcar,8,2,1,0.3,1.661868
regcar,8,3,0.7,0.7,3.0350346
stwagon,1,2,1,0,3.5994428
regcar,8,3,1,0,3.5346277
regcar,4,1,0.7,0,4.3455777
sportuv,8,3,0.7,0,8.0791491
regcar,1,2,0.7,0,6.6218936
sportuv,1,2,0.7,0,4.7898118
regcar,2,2,0.7,0,4.5107845
regcar,6,2,1,0.1,6.3459814
regcar,2,0,1,0.1,1.5337333
sportuv,4,3,1,0.3,10.422338
regcar,4,2,0.7,0,6.2616864
regcar,1,2,0.7,0,5.2423324
regcar,6,3,0.7,0.3,5.2423324
regcar,8,2,1,0,1.9270822
regcar,4,3,0.7,0,4.8177056
regcar,1,3,1,0,6.3864157
regcar,6,2,1,0.1,4.1386835
regcar,2,2,0.7,0.3,7.7255425
truck,8,2,0.7,0,4.3906608
sportuv,1,2,1,0,2.8489165
van,8,3,1,0.3,3.5329841
sportcar,2,1,1,0,11.911243
sportuv,8,3,1,0,4.690508
regcar,6,3,1,0.1,5.2423324
regcar,8,3,0.7,0.7,2.4599482
regcar,2,3,0.7,0,2.5562222
regcar,1,3,1,0,4.8177056
regcar,1,2,0.7,0,5.4600663
sportuv,8,3,0.7,0.7,4.0359651
regcar,8,2,0.7,0,2.5247341
regcar,4,3,0.7,0,7.8271081
truck,4,2,1,0,6.0700691
stwagon,1,1,0.7,0,2.9936324
truck,2,3,0.7,0.3,5.7941569
regcar,2,3,0.7,0,3.1308432
regcar,8,1,0.7,0.7,3.0863263
regcar,2,3,1,0,4.2920479
regcar,4,3,0.7,0,4.7969948
regcar,2,2,1,0,3.0296809
regcar,8,2,0.7,0,4.0359651
van,1,2,0.7,0,3.0674666
regcar,6,3,0.7,0.3,2.9072116
regcar,2,3,0.7,0,1.7673139
regcar,4,3,0.7,0,3.3109468
truck,6,2,0.7,0.3,2.8118444
sportuv,2,3,0.7,0.3,3.2118037
truck,4,3,0.7,0,6.1349332
regcar,4,3,1,0,6.102427
regcar,2,3,0.7,0,3.3109468
regcar,2,2,0.7,0,3.5787111
regcar,1,2,1,0,3.8541644
regcar,4,2,0.7,0,4.8568222
regcar,2,3,1,0.1,3.7985554
regcar,8,0,1,0.3,4.8177056
regcar,8,2,1,0.3,2.6115068
van,4,3,1,0,8.4371306
van,4,3,0.7,0.7,7.0692554
regcar,1,3,1,0,4.8177056
regcar,8,3,0.7,0,11.911243
regcar,4,3,0.7,0,4.9893873
regcar,8,2,1,0,4.7969948
regcar,8,3,0.7,0,5.6978331
regcar,1,3,1,0,3.8343333
regcar,1,3,1,0,3.3927834
regcar,8,2,1,0,4.9198965
van,8,2,0.7,0,3.0296809
regcar,1,3,0.7,0,3.0674666
regcar,6,3,0.7,0.3,3.3230888
regcar,2,1,1,0,3.5611457
regcar,4,2,1,0,1.6059019
sportuv,2,2,1,0.1,2.1953304
regcar,2,3,1,0,3.8017382
regcar,8,3,1,0,3.3109468
regcar,1,1,1,0,4.2920479
sportcar,1,1,0.7,0,3.7871011
sportuv,1,3,1,0,3.323736
regcar,8,3,0.7,0.7,4.1386835
regcar,4,3,0.7,0,0.89452663
van,8,2,0.7,0,5.554415
regcar,8,1,1,0,4.2920479
regcar,1,3,0.7,0,4.690508
regcar,8,3,0.7,0.7,3.8343333
sportuv,4,3,1,0,1.7893555
regcar,8,3,0.7,0,3.7871011
regcar,2,2,0.7,0,6.6474719
truck,8,3,1,0,1.4821235
regcar,2,2,1,0,2.9778108
regcar,1,1,1,0,2.2072979
regcar,2,3,1,0,3.5329841
regcar,2,3,0.7,0,2.964247
regcar,8,2,1,0,8.3093399
regcar,4,3,0.7,0,4.9893873
regcar,8,2,1,0.3,5.3019416
regcar,4,2,1,0.3,4.8177056
regcar,1,2,1,0,3.7919343
regcar,4,3,1,0,3.8541644
regcar,2,2,1,0,3.3109468
regcar,8,2,0.7,0,3.8343333
regcar,4,3,0.7,0,3.8541644
regcar,1,3,1,0,1.9852072
sportuv,4,3,1,0,3.8343333
van,2,3,0.7,0,4.2920479
regcar,8,1,0.7,0.7,4.963018
regcar,6,1,0.7,0.3,3.7871011
regcar,6,3,0.7,0.3,1.7370563
regcar,1,3,1,0,5.9556216
regcar,8,1,0.7,0.7,4.0899555
regcar,4,3,0.7,0,4.1386835
sportuv,1,3,1,0,5.4600663
regcar,2,2,1,0,2.6835799
regcar,2,3,1,0,3.5329841
van,1,2,0.7,0,11.241313
regcar,2,2,1,0,3.0674666
regcar,8,3,0.7,0,3.5346277
regcar,8,3,1,0.3,5.1388859
sportuv,8,3,1,0,4.2920479
truck,4,2,0.7,0.1,6.3459814
regcar,8,2,1,0,7.0659681
regcar,1,3,0.7,0,4.2920479
regcar,6,3,0.7,0.3,12.407545
van,2,2,1,0.1,4.2920479
van,4,3,1,0,6.0700691
van,8,3,1,0,3.5611457
regcar,4,0,1,0,5.4593198
regcar,2,3,1,0,4.7969948
regcar,1,1,0.7,0,1.9852072
regcar,6,3,1,0.1,3.5329841
regcar,6,2,1,0.1,5.1435281
regcar,2,2,1,0,4.0359651
regcar,8,2,0.7,0,1.3795612
van,4,3,0.7,0,4.2920479
regcar,6,2,1,0.1,4.0395745
regcar,4,1,1,0,0.94963885
regcar,8,3,1,0.3,4.1753448
regcar,6,2,0.7,0.3,8.179911
regcar,6,3,1,0.7,4.1386835
regcar,2,3,0.7,0,4.7969948
regcar,4,3,1,0,6.102427
regcar,8,2,0.7,0.7,3.5781065
regcar,2,3,1,0.1,4.1753448
regcar,8,3,0.7,0,3.8541644
van,4,2,0.7,0,4.9198965
stwagon,6,2,1,0.3,3.5611457
regcar,4,2,1,0,4.3455777
van,8,3,0.7,0,3.5994428
regcar,2,3,1,0,4.8177056
regcar,8,2,0.7,0,7.1562131
regcar,2,2,0.7,0,3.3109468
regcar,6,2,1,0.7,5.2423324
van,4,3,0.7,0.7,2.8906233
regcar,1,3,1,0,4.1386835
regcar,4,3,1,0,3.3109468
regcar,4,3,1,0,4.3455777
regcar,4,1,1,0,3.3544749
regcar,2,3,1,0,3.8017382
sportcar,8,2,0.7,0,8.9467777
regcar,8,3,0.7,0,4.2490015
sportuv,8,3,1,0,4.2920479
regcar,2,3,0.7,0,3.5611457
regcar,2,3,1,0,3.0296809
regcar,8,1,1,0,4.690508
regcar,4,2,1,0,3.5329841
regcar,2,2,0.7,0,8.8291915
regcar,6,2,1,0.1,1.661868
sportuv,8,3,0.7,0,6.102427
regcar,8,3,1,0.3,4.4145957
truck,2,3,1,0,2.0449777
regcar,8,3,1,0,3.7871011
regcar,4,2,0.7,0,3.8541644
regcar,4,3,0.7,0,1.4889054
regcar,2,3,0.7,0.3,4.2920479
sportuv,4,3,1,0.3,5.3019416
regcar,1,3,0.7,0,3.0296809
regcar,1,3,1,0,3.2118037
regcar,1,3,1,0,3.8627713
regcar,1,3,0.7,0,4.690508
regcar,1,3,0.7,0,6.6218936
regcar,4,3,1,0.3,7.444527
truck,4,3,0.7,0.7,2.9936324
truck,4,3,1,0,4.2490015
regcar,8,3,0.7,0,3.5994428
regcar,2,2,1,0,6.0593618
van,2,3,1,0,3.5787111
regcar,2,2,0.7,0,3.5346277
regcar,2,3,1,0,3.5329841
regcar,4,3,1,0.3,5.8068884
regcar,2,3,1,0.1,4.8177056
regcar,2,3,1,0,3.7919343
stwagon,1,2,1,0,4.690508
regcar,4,3,0.7,0.7,3.7985554
truck,2,2,0.7,0.3,5.1388859
regcar,8,3,1,0,6.1349332
sportuv,2,3,1,0.1,5.4604234
regcar,2,2,1,0.1,2.7772075
sportuv,2,1,1,0,2.7591223
van,2,3,0.7,0,5.2423324
regcar,2,3,0.7,0,4.3455777
regcar,6,2,1,0.7,3.2821543
regcar,8,3,0.7,0,4.5107845
regcar,8,1,1,0,1.262367
sportcar,2,1,1,0,4.7898118
van,6,3,0.7,0.3,5.1435281
regcar,4,3,0.7,0,4.2920479
regcar,8,3,1,0,2.4599482
regcar,1,0,1,0,5.4600663
regcar,8,3,0.7,0,5.2230137
regcar,8,3,0.7,0,4.3455777
regcar,1,3,1,0,4.9198965
regcar,1,2,1,0,3.4741126
regcar,8,3,0.7,0,4.9198965
regcar,4,3,0.7,0,4.690508
regcar,8,2,1,0,3.7871011
regcar,4,2,0.7,0,7.7255425
regcar,8,2,0.7,0.7,5.2423324
regcar,2,0,0.7,0,8.0791491
regcar,2,3,1,0,4.690508
sportcar,2,2,0.7,0,8.0295093
regcar,4,3,0.7,0.7,4.1386835
regcar,8,2,0.7,0,1.1036489
regcar,6,3,0.7,0.3,2.8118444
regcar,8,1,1,0,4.0359651
regcar,8,2,0.7,0,4.9198965
van,4,3,1,0,3.1308432
regcar,2,2,1,0.1,3.5329841
sportuv,2,1,1,0,4.7969948
truck,2,3,1,0,1.2847215
regcar,1,3,0.7,0,4.1386835
sportcar,1,2,0.7,0,8.3093399
truck,2,1,0.7,0,3.8343333
regcar,4,3,1,0,5.6236888
van,2,3,0.7,0.3,2.8118444
regcar,2,3,0.7,0,8.4371306
regcar,1,2,0.7,0,4.0359651
van,6,3,0.7,0.3,1.3795612
regcar,6,3,1,0.1,1.34179
regcar,8,3,0.7,0.7,3.0350346
regcar,8,3,1,0.3,3.7919343
regcar,2,3,1,0,3.7919343
van,2,3,0.7,0,5.554415
sportuv,2,3,1,0,3.8627713
regcar,6,3,1,0.1,2.7772075
sportuv,1,3,0.7,0,3.8017382
regcar,1,3,1,0,2.8489165
regcar,4,2,0.7,0,3.8627713
regcar,1,2,1,0,5.4600663
truck,2,3,1,0,3.0674666
regcar,1,2,0.7,0,10.91864
regcar,8,2,0.7,0.7,1.4453117
regcar,1,1,1,0,3.3544749
regcar,4,2,0.7,0,4.3455777
truck,2,3,0.7,0,2.0197873
sportuv,4,3,0.7,0,5.5907915
regcar,1,3,0.7,0,5.0815663
stwagon,4,2,0.7,0,4.3455777
regcar,2,2,0.7,0,4.1386835
van,2,3,1,0,5.6236888
van,8,3,1,0,7.8271081
regcar,4,2,1,0,3.8627713
regcar,4,3,0.7,0,1.5966039
regcar,4,3,0.7,0,8.4371306
regcar,8,3,1,0.3,4.2920479
regcar,1,3,0.7,0,3.0296809
regcar,1,3,1,0,3.3544749
regcar,8,2,0.7,0,8.4371306
regcar,1,1,0.7,0,3.0296809
regcar,6,3,0.7,0.3,6.3459814
sportuv,2,1,0.7,0,4.2490015
regcar,4,2,0.7,0,3.3927834
truck,1,1,0.7,0,3.8627713
regcar,4,2,0.7,0,4.4965252
regcar,1,2,0.7,0,5.5881138
van,6,3,0.7,0.3,4.3455777
regcar,8,2,0.7,0,5.6236888
truck,2,1,1,0,2.6835799
regcar,2,3,1,0.1,0.89467777
van,4,3,0.7,0.7,4.8698344
regcar,2,3,1,0,6.6218936
regcar,4,2,1,0.3,4.8568222
van,2,2,0.7,0,4.0229067
regcar,2,2,0.7,0,4.2920479
regcar,6,3,1,0.1,4.1753448
regcar,1,2,0.7,0,6.3118352
regcar,6,2,1,0.7,1.1870486
regcar,4,3,0.7,0.7,4.1386835
regcar,4,3,0.7,0.7,7.9408288
van,4,3,0.7,0.1,1.9313856
truck,1,3,1,0,8.8291915
regcar,8,3,1,0,4.5107845
van,4,3,1,0,4.2920479
truck,4,3,0.7,0,5.6978331
